species_id,species_group,scientific_name,catch_2018_tonnes,catch_2021_tonnes,catch_2023_tonnes,change_2018_to_2021_pct,change_2018_to_2023_pct,stock_status,ecological_diagnostic_cause
1,Oil Sardine,Sardinella longiceps,283051.9,137171.0,264839.0,-51.5,-6.4,Severe Depletion & Recovery,El Niño Southern Oscillation (ENSO) / Thermal Front Disruption / Spawning Failure
2,Indian Mackerel,Rastrelliger kanagurta,275037.0,279347.1,259353.9,1.6,-5.7,Stable / Fully Exploited,Normal Multi-Decadal Fluctuation
3,Ribbonfishes,Trichiurus lepturus,203848.5,197023.0,215871.2,-3.3,5.9,Stable / Fully Exploited,Normal Multi-Decadal Fluctuation
4,Penaeid Prawns,Penaeus monodon / indicus,333863.4,323098.1,337303.6,-3.2,1.0,Stable / Fully Exploited,Intensive Bottom Trawling Fishing Pressure / Mangrove Habitat Modification
5,Non-penaeid Prawns,Acetes indicus,249857.0,252954.0,245944.3,1.2,-1.6,Stable / Fully Exploited,Intensive Bottom Trawling Fishing Pressure / Mangrove Habitat Modification
6,Cephalopods (Squid & Cuttlefish),Uroteuthis duvaucelii / Sepia pharaonis,172905.3,171460.2,164748.6,-0.8,-4.7,Stable / Fully Exploited,Normal Multi-Decadal Fluctuation
7,Tuna & Bonitos,Katsuwonus pelamis / Thunnus albacares,126163.8,125776.7,121972.1,-0.3,-3.3,Stable / Fully Exploited,Normal Multi-Decadal Fluctuation
8,Seer Fishes (King Mackerel),Scomberomorus commerson,120270.0,117119.3,118546.8,-2.6,-1.4,Stable / Fully Exploited,Normal Multi-Decadal Fluctuation
9,Silver & Black Pomfrets,Pampus argenteus / Parastromateus niger,132571.8,138142.3,131833.1,4.2,-0.6,Stable / Fully Exploited,Normal Multi-Decadal Fluctuation
10,Croakers (Sciaenids),Johnius dussumieri / Otolithes ruber,266412.2,269699.0,251597.3,1.2,-5.6,Stable / Fully Exploited,Normal Multi-Decadal Fluctuation
11,Threadfin Breams,Nemipterus japonicus,150804.9,160411.3,156217.4,6.4,3.6,Stable / Fully Exploited,Normal Multi-Decadal Fluctuation
12,Anchovies (Stolephorus),Stolephorus commersonnii,118356.0,111788.3,114841.8,-5.5,-3.0,Stable / Fully Exploited,Normal Multi-Decadal Fluctuation
13,Crabs (Portunids),Portunus pelagicus / sanguinolentus,87026.4,88442.9,92196.3,1.6,5.9,Stable / Fully Exploited,Normal Multi-Decadal Fluctuation
14,Hilsa Shad,Tenualosa ilisha,169275.0,162730.9,160664.0,-3.9,-5.1,Stable / Fully Exploited,Overfishing of Juveniles (Jatka) / Siltation & Reduced Estuarine Freshwater Influx
